9781879181489,1879181487,Maya Cosmogenesis 2012,John Major Jenkins,"Body, Mind & Spirit",,"While researching the 2012 end-date of the Maya Calendar, John Major Jenkins decoded the Maya's galactic cosmology. The Maya discovered that the periodic alignment of the Sun with the center of the Milky Way galaxy is the formative influence on human evolution. These alignments also define a series of World Ages. The fourth age ends on December 21, 2012, when an epoch chapter in human history will come to an end. Maya Cosmogenesis 2012 reveals the Maya's insight into the cyclic nature of time, and prepares us for our own cosmogenesis--the birth of a new world.",1998.0,3.7,480.0,183.0,Maya Cosmogenesis 2012: The True Meaning of the Maya Calendar End-Date,"9781879181489 While researching the 2012 end-date of the Maya Calendar, John Major Jenkins decoded the Maya's galactic cosmology. The Maya discovered that the periodic alignment of the Sun with the center of the Milky Way galaxy is the formative influence on human evolution. These alignments also define a series of World Ages. The fourth age ends on December 21, 2012, when an epoch chapter in human history will come to an end. Maya Cosmogenesis 2012 reveals the Maya's insight into the cyclic nature of time, and prepares us for our own cosmogenesis--the birth of a new world."
9781879794061,1879794063,Best of the Eighties,John L. Goldwater,Comics & Graphic Novels,http://books.google.com/books/content?id=G7JvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This 96-page full color trade paperback features many of the most hilarious exploits of Archie and Friends'from the ""ME"" decade, better known as the Eighties. Computers! New age music! Urban cowboys! Preppies! E.T.! Roller boogie! Michael Jackson! Cabbage Patch Kids! Breakdancing! Trivial Pursuit! Music videos! It's all here in this amazing volume!",2001.0,3.94,96.0,58.0,Best of the Eighties,"9781879794061 This 96-page full color trade paperback features many of the most hilarious exploits of Archie and Friends'from the ""ME"" decade, better known as the Eighties. Computers! New age music! Urban cowboys! Preppies! E.T.! Roller boogie! Michael Jackson! Cabbage Patch Kids! Breakdancing! Trivial Pursuit! Music videos! It's all here in this amazing volume!"
9781880393338,1880393336,Plato on Rhetoric and Language,Plato;Jean Nienkamp,Language Arts & Disciplines,http://books.google.com/books/content?id=dPEU-Zc29J0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Collected here for the first time in one volume, four key Platonic dialogues-the Ion, the Protagorus, the Gorgius and the Phaedrus - serve as an important introduction to the productive ambiguities of Platonic thought on rhetoric and language. In her introduction to the volume, editor Jean Nienkamp considers Plato's views on language, genre, and writing, and outlines the critical issues involved in the study of Platonic thought on rhetoric and poetics. Readers are invited to participate in the dialogues as vital philosophical conversations about issues that animate contemporary rhetorical and literary thought today.",1999.0,4.2,232.0,10.0,Plato on Rhetoric and Language: Four Key Dialogues,"9781880393338 Collected here for the first time in one volume, four key Platonic dialogues-the Ion, the Protagorus, the Gorgius and the Phaedrus - serve as an important introduction to the productive ambiguities of Platonic thought on rhetoric and language. In her introduction to the volume, editor Jean Nienkamp considers Plato's views on language, genre, and writing, and outlines the critical issues involved in the study of Platonic thought on rhetoric and poetics. Readers are invited to participate in the dialogues as vital philosophical conversations about issues that animate contemporary rhetorical and literary thought today."
9781880656419,1880656418,Hayao Miyazaki,Helen McCarthy,Art,http://books.google.com/books/content?id=4YPh2_D9q2EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Artist-writer-director-producer Hayao Miyazaki is often called ""the Walt Disney of Japan."" His animated theatrical features have been smash hits in Japan, and many, including My Neighbor Totoro and Kiki's Delivery Service, are already familiar to American audiences. Now, with Disney-Miramax's imminent release of Princess Mononoke,, Miyazaki's masterwork and one of the top-grossing film in all Japanese history, this ""animation master"" is about to take America and the world by storm. Mixing first-hand interview and personal insights with critical evaluations of art, plot, production qualities, and literary themes, McCarthy provides a film-by-film appraisal that examines technique as well as message. She reveals Miyazaki to be not just a master of the art of animation, but a meticulous craftsman who sees his work as a medium for shaping the humanistic and environmental concerns of our times. An overview of the artist and his early career is followed by in-depth examinations of seven major Miyazaki films: Nausicaä of the Valley of Wind, Laputa: Castle in the Sky, Castle of Cagliostro, My Neighbor Totoro, Kiki's Delivery Service, Porco Rosso, and Princess Mononoke. Included are design and technical data, story synopses and character sketches, personnel and filmography data, and critical evaluation. Illustrations throughout, in color and black and white, show the detail and vigor of Miyazaki's art. Written for anime fans as well as students of film, literature, and popular culture, McCarthy's book raises animation criticism to a whole new level and is an essential guide to the work of a world-class filmmaker. London-based Helen McCarthy is author of Anime! A Beginner's Guide to Japanese Animation, The Anime Movie Guide, and (with Jonathan Clements) The Erotic Anime Movie Guide. She appears frequently on radio and TV and at conferences around the world.",1999.0,3.94,240.0,301.0,"Hayao Miyazaki: Master of Japanese Animation : Films, Themes, Artistry","9781880656419 Artist-writer-director-producer Hayao Miyazaki is often called ""the Walt Disney of Japan."" His animated theatrical features have been smash hits in Japan, and many, including My Neighbor Totoro and Kiki's Delivery Service, are already familiar to American audiences. Now, with Disney-Miramax's imminent release of Princess Mononoke,, Miyazaki's masterwork and one of the top-grossing film in all Japanese history, this ""animation master"" is about to take America and the world by storm. Mixing first-hand interview and personal insights with critical evaluations of art, plot, production qualities, and literary themes, McCarthy provides a film-by-film appraisal that examines technique as well as message. She reveals Miyazaki to be not just a master of the art of animation, but a meticulous craftsman who sees his work as a medium for shaping the humanistic and environmental concerns of our times. An overview of the artist and his early career is followed by in-depth examinations of seven major Miyazaki films: Nausicaä of the Valley of Wind, Laputa: Castle in the Sky, Castle of Cagliostro, My Neighbor Totoro, Kiki's Delivery Service, Porco Rosso, and Princess Mononoke. Included are design and technical data, story synopses and character sketches, personnel and filmography data, and critical evaluation. Illustrations throughout, in color and black and white, show the detail and vigor of Miyazaki's art. Written for anime fans as well as students of film, literature, and popular culture, McCarthy's book raises animation criticism to a whole new level and is an essential guide to the work of a world-class filmmaker. London-based Helen McCarthy is author of Anime! A Beginner's Guide to Japanese Animation, The Anime Movie Guide, and (with Jonathan Clements) The Erotic Anime Movie Guide. She appears frequently on radio and TV and at conferences around the world."
9781880685358,1880685353,Harrington on Hold 'em,Dan Harrington;Bill Robertie,Games & Activities,http://books.google.com/books/content?id=u8y_9XdJaEMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Provides poker strategies for every phase of tournament play, covering the early phase where the stakes are small to later tactics such as bluffing, flops, scare cards, playing shorthanded, loose games, and endgame play.",2005.0,4.15,450.0,1413.0,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments; Volume II: the Endgame,"9781880685358 Provides poker strategies for every phase of tournament play, covering the early phase where the stakes are small to later tactics such as bluffing, flops, scare cards, playing shorthanded, loose games, and endgame play."
9781881244066,1881244067,Orin Òrìṣà,John Mason,Music,,"""This is the first comprehensive translation and review of close to 600 Yorùbá songs that have been used in Cuba by Africans and their descendents, for over two hundred years, and in the U.S., since 1960, to prainse and envoke some 25 òrìṣà/deities. The classical character of the music, songs, and historic/elemental archetypes is discussed fully.""--Page 4 of cover.",1997.0,4.39,450.0,39.0,Orin Òrìṣà: Songs for Selected Heads,"9781881244066 ""This is the first comprehensive translation and review of close to 600 Yorùbá songs that have been used in Cuba by Africans and their descendents, for over two hundred years, and in the U.S., since 1960, to prainse and envoke some 25 òrìṣà/deities. The classical character of the music, songs, and historic/elemental archetypes is discussed fully.""--Page 4 of cover."
9781883011079,1883011078,Raymond Chandler: Stories & Early Novels (LOA #79),Raymond Chandler,"Detective and mystery stories, American",,"In Raymond Chandler's hands, the pulp crime story became a haunting mystery of power and corruption, set against a modern cityscape both lyrical and violent. Now Chandler joins the authoritative Library of America series in a comprehensive two-volume set displaying all the facets of his brilliant talent. In his first novel, The Big Sleep (1939), the classic private eye finds his full-fledged form as Philip Marlowe: at once tough, independent, brash, disillusioned, and sensitive--and man of weary honor threading his way (in Chandler's phrase) ""down these mean streets"" among blackmailers, pornographers, and murderers for hire. In Farewell, My Lovely (1940), Chandler's personal favorite among his novels, Marlowe's search for a missing woman leads him from shanties and honky-tonks to the highest reaches of power, encountering an array of richly drawn characters. The High Window (1942), about a rare coin that becomes a catalyst by which a hushed-up crime comes back to haunt a wealthy family, is partly a humorous burlesque of pulp fiction. All three novels show Chandler at a peak of verbal inventiveness and storytelling drive Stories and Early Novels also includes every classic noir story from the 1930s that Chandler did not later incorporate into a novel--thirteen in all, among them such classics as ""Red Wind,"" ""Finger Man,"" The King in Yellow,"" and ""Trouble Is My Business."" Drawn from the pages of Black Mask and Dime Detective, these stories show how Chandler adapted the violent conventions of the pulp magazine--with their brisk exposition and rapid-fire dialogue--to his own emerging vision of twentieth-century America. LIBRARY OF AMERICA is an independent nonprofit cultural organization founded in 1979 to preserve our nation's literary heritage by publishing, and keeping permanently in print, America's best and most significant writing. The Library of America series includes more than 300 volumes to date, authoritative editions that average 1,000 pages in length, feature cloth covers, sewn bindings, and ribbon markers, and are printed on premium acid-free paper that will last for centuries.",1995.0,4.49,1199.0,1296.0,"Raymond Chandler: Stories & Early Novels (LOA #79): Pulp Stories / the Big Sleep / Farewell, My Lovely / the High Window","9781883011079 In Raymond Chandler's hands, the pulp crime story became a haunting mystery of power and corruption, set against a modern cityscape both lyrical and violent. Now Chandler joins the authoritative Library of America series in a comprehensive two-volume set displaying all the facets of his brilliant talent. In his first novel, The Big Sleep (1939), the classic private eye finds his full-fledged form as Philip Marlowe: at once tough, independent, brash, disillusioned, and sensitive--and man of weary honor threading his way (in Chandler's phrase) ""down these mean streets"" among blackmailers, pornographers, and murderers for hire. In Farewell, My Lovely (1940), Chandler's personal favorite among his novels, Marlowe's search for a missing woman leads him from shanties and honky-tonks to the highest reaches of power, encountering an array of richly drawn characters. The High Window (1942), about a rare coin that becomes a catalyst by which a hushed-up crime comes back to haunt a wealthy family, is partly a humorous burlesque of pulp fiction. All three novels show Chandler at a peak of verbal inventiveness and storytelling drive Stories and Early Novels also includes every classic noir story from the 1930s that Chandler did not later incorporate into a novel--thirteen in all, among them such classics as ""Red Wind,"" ""Finger Man,"" The King in Yellow,"" and ""Trouble Is My Business."" Drawn from the pages of Black Mask and Dime Detective, these stories show how Chandler adapted the violent conventions of the pulp magazine--with their brisk exposition and rapid-fire dialogue--to his own emerging vision of twentieth-century America. LIBRARY OF AMERICA is an independent nonprofit cultural organization founded in 1979 to preserve our nation's literary heritage by publishing, and keeping permanently in print, America's best and most significant writing. The Library of America series includes more than 300 volumes to date, authoritative editions that average 1,000 pages in length, feature cloth covers, sewn bindings, and ribbon markers, and are printed on premium acid-free paper that will last for centuries."
9781883398293,1883398290,"H. R. Giger's Retrospective, 1964-1984",H. R. Giger;Käthi Christen;Adrienne Theimer,Art,http://books.google.com/books/content?id=Fr40AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"More than 150 artworks, spanning 20 years in the career of the world's most renowned artist of the fantastical and the surreal, are gathered in one volume, rich with detail and color. Carefully rendered reproductions of Giger's best paintings are accompanied by his own commentary. 70 color illus. 75 bandw illus. 25 bandw photos.",1997.0,4.35,112.0,113.0,"H. R. Giger's Retrospective, 1964-1984","9781883398293 More than 150 artworks, spanning 20 years in the career of the world's most renowned artist of the fantastical and the surreal, are gathered in one volume, rich with detail and color. Carefully rendered reproductions of Giger's best paintings are accompanied by his own commentary. 70 color illus. 75 bandw illus. 25 bandw photos."
9781883477370,1883477379,Nineteen Sixty Eight,David Charles Hoeh,,,"Sen. Eugene J. McCarthy's own account of the year 1968, a year in which he challenged and unseated a sitting US President and made a fundamental contribution to the ending of a disasterous, and undeclared, war conducted by a president who was assuming near-dictatorial powers in the pursuit of that illegal war.",2000.0,4.5,246.0,2.0,Nineteen Sixty Eight: War and Democracy,"9781883477370 Sen. Eugene J. McCarthy's own account of the year 1968, a year in which he challenged and unseated a sitting US President and made a fundamental contribution to the ending of a disasterous, and undeclared, war conducted by a president who was assuming near-dictatorial powers in the pursuit of that illegal war."
9781884365300,1884365302,The Jungle,Upton Sinclair;Kathleen De Grave,Fiction,http://books.google.com/books/content?id=4cY-vgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The horrifying conditions of the Chicago stockyards are revealed through this narrative of a young immigrant's struggles in America, including five chapters omitted from the original edition.",2003.0,3.73,335.0,106675.0,The Jungle: The Uncensored Original Edition,"9781884365300 The horrifying conditions of the Chicago stockyards are revealed through this narrative of a young immigrant's struggles in America, including five chapters omitted from the original edition."
